image_filename,opencv_haar,insightface,mtcnn,yolo_face,face_detection,face_detection_tflite
haan_ghil_muulnaat_1780561475255.png,0,1,1,1,0,0
haan_ghil_muulnaat_1780561475870.png,0,1,1,0,0,0
haan_ghil_muulnaat_1780561476371.png,1,1,1,1,0,1
haan_ghil_muulnaat_1780561476886.png,0,1,1,1,0,1
haan_ghil_muulnaat_1780561477384.png,0,1,0,1,1,0
haan_ghil_muulnaat_1780561478076.png,0,0,1,1,0,1
haan_ghil_muulnaat_1780561478767.png,1,1,1,1,1,1
haan_ghil_muulnaat_1780561479427.png,0,1,1,1,0,0
haan_ghil_muulnaat_1780561480104.png,0,1,0,0,0,0
haan_ghil_muulnaat_1780561480828.png,0,1,1,1,0,1
haan_ghil_muulnaat_1780561481333.png,0,1,1,1,0,1
haan_ghil_muulnaat_1780561481949.png,0,1,1,1,0,1
haan_ghil_muulnaat_1780561483291.png,0,1,1,1,1,1
haan_ghil_muulnaat_1780561483847.png,1,1,0,1,1,1
haan_ghil_muulnaat_1780561484407.png,0,1,1,1,0,0
haan_ghil_muulnaat_1780561485136.png,0,1,1,1,0,1
haan_ghil_muulnaat_1780561485689.png,0,1,1,1,0,0
haan_ghil_muulnaat_1780561486239.png,0,1,1,1,0,1
haan_ghil_muulnaat_1780561486927.png,1,1,1,1,0,1
haan_ghil_muulnaat_1780561487602.png,1,0,0,1,0,0
haan_ghil_muulnaat_1780561488245.png,0,1,0,1,0,1
haan_ghil_muulnaat_1780561488954.png,0,1,1,1,0,1
haan_ghil_muulnaat_1780561489517.png,1,1,1,1,0,1
haan_ghil_muulnaat_1780561490282.png,0,1,1,1,0,0
haan_ghil_muulnaat_1780561491002.png,0,1,1,1,0,0
haan_ghil_muulnaat_1780561491532.png,1,1,1,0,0,1
haan_ghil_muulnaat_1780561492066.png,0,0,0,0,0,0
haan_ghil_muulnaat_1780561492635.png,0,1,1,1,1,1
haan_ghil_muulnaat_1780561493243.png,1,1,1,1,1,0
haan_ghil_muulnaat_1780561493951.png,0,0,0,1,0,0
haan_ghil_muulnaat_1780561494507.png,1,1,1,1,1,1
haan_ghil_muulnaat_1780561495060.png,0,0,1,1,0,0
haan_ghil_muulnaat_1780561495797.png,0,1,1,0,0,1
haan_ghil_muulnaat_1780561496304.png,0,1,1,1,0,1
haan_ghil_muulnaat_1780561496873.png,0,1,1,1,0,1
haan_ghil_muulnaat_1780561497592.png,0,1,1,1,1,1
haan_ghil_muulnaat_1780561498129.png,1,1,1,1,0,1
haan_ghil_muulnaat_1780561498673.png,1,1,1,1,1,1
haan_ghil_muulnaat_1780561499243.png,1,0,1,1,0,1
haan_ghil_muulnaat_1780561500012.png,0,1,1,1,0,1
haan_ghil_muulnaat_1780561500763.png,0,1,1,1,1,1
haan_ghil_muulnaat_1780561501306.png,0,1,1,1,1,1
haan_ghil_muulnaat_1780561502024.png,0,1,1,1,0,0
haan_ghil_muulnaat_1780561502762.png,0,1,1,1,0,1
haan_ghil_muulnaat_1780561503523.png,0,1,1,1,0,1
haan_ghil_muulnaat_1780561504297.png,0,1,1,1,0,0
haan_ghil_muulnaat_1780561504874.png,0,1,0,1,0,1
haan_ghil_muulnaat_1780561505471.png,0,0,1,1,0,0
haan_ghil_muulnaat_1780561506033.png,0,1,1,1,1,1
haan_ghil_muulnaat_1780561506747.png,1,0,1,0,0,1
haan_ghil_muulnaat_1780561507297.png,0,1,1,1,1,1
haan_ghil_muulnaat_1780561507830.png,0,1,1,1,1,1
haan_ghil_muulnaat_1780561508413.png,0,0,0,0,0,1
haan_ghil_muulnaat_1780561509013.png,1,1,1,1,0,1
haan_ghil_muulnaat_1780561509564.png,0,1,1,1,0,0
haan_ghil_muulnaat_1780561510302.png,0,1,0,1,0,0
haan_ghil_muulnaat_1780561510887.png,0,1,1,1,0,1
haan_ghil_muulnaat_1780561511633.png,0,1,0,1,0,0
haan_ghil_muulnaat_1780561512193.png,0,1,1,1,0,1
haan_ghil_muulnaat_1780561512808.png,0,1,1,1,0,1
haan_ghil_muulnaat_1780561513417.png,1,1,1,1,0,0
haan_ghil_muulnaat_1780561514023.png,1,1,1,1,0,1
haan_ghil_muulnaat_1780561514661.png,1,1,1,1,0,1
haan_ghil_muulnaat_1780561515424.png,1,1,1,1,1,1
haan_ghil_muulnaat_1780561516175.png,0,1,1,1,1,1
haan_ghil_muulnaat_1780561516736.png,0,1,1,1,0,0
haan_ghil_muulnaat_1780561517361.png,1,1,1,1,0,1
haan_ghil_muulnaat_1780561518075.png,0,1,1,1,0,1
haan_ghil_muulnaat_1780561518811.png,0,0,1,1,0,1
haan_ghil_muulnaat_1780561519392.png,1,1,1,1,0,1
haan_ghil_muulnaat_1780561520004.png,1,1,1,1,1,1
haan_ghil_muulnaat_1780561520843.png,1,1,0,1,0,0
haan_ghil_muulnaat_1780561521666.png,0,1,1,1,0,1
haan_ghil_muulnaat_1780561522494.png,0,1,1,1,0,1
haan_ghil_muulnaat_1780561523266.png,0,1,1,1,0,0
haan_ghil_muulnaat_1780561524029.png,0,0,0,1,0,0
haan_ghil_muulnaat_1780561524815.png,0,1,1,1,0,0
haan_ghil_muulnaat_1780561525441.png,0,1,1,1,0,1
haan_ghil_muulnaat_1780561526189.png,0,1,1,1,0,1
haan_ghil_muulnaat_1780561526936.png,0,1,1,1,0,0
haan_ghil_muulnaat_1780561527722.png,1,1,1,1,1,1
haan_ghil_muulnaat_1780561528261.png,0,1,1,1,0,1
